"layer","id","total_time","sub_sec_cnt","sub_acc_cnt","dep","MERGE"
"315",1,633,2807,10,0,1715,10
"316",1,633,4614,10,0,3285,11
"317",1,633,4664,10,0,3266,10
"318",1,633,2063,10,0,753,10
"319",1,633,2603,10,0,1454,15
"320",1,633,3159,10,0,1554,10
"321",1,633,3661,10,0,1993,10
"322",1,633,2649,10,0,1121,10
"323",1,633,1801,10,0,171,9
"324",1,633,2996,10,0,1135,11
"325",1,633,4128,10,0,2228,10
"326",1,633,3579,10,0,1883,10
"327",1,633,3696,10,0,1853,10
"328",1,633,2643,10,0,997,9
"329",1,633,3514,10,0,1891,10
"330",1,633,3056,10,0,1830,10
"331",1,633,8238,10,0,2323,10
"332",1,633,4172,10,0,1858,10
"333",1,633,5316,10,0,2021,14
"334",1,633,6186,10,0,1972,12
"335",1,633,4874,10,0,1135,11
"336",1,633,6629,10,0,2123,11
"337",1,633,2944,10,0,1849,11
"338",1,633,3645,10,0,1736,11
"339",1,633,2600,10,0,1358,10
"340",1,633,2791,10,0,1726,11
"341",1,633,3128,10,0,1748,12
"342",1,633,1927,10,0,817,11
"343",1,633,2451,10,0,1323,11
"344",1,633,6253,10,0,5199,12
"345",1,633,2098,10,0,940,21
"346",1,633,2292,10,0,1037,67
"347",1,633,2332,10,0,1149,10
"348",1,633,3122,10,0,1748,11
"349",1,633,3845,10,0,2680,11
"350",1,633,1901,10,0,495,12
"351",1,633,2305,10,0,894,9
"352",1,633,2429,10,0,1047,10
"353",1,633,2490,10,0,1155,11
"354",1,633,2696,10,0,1381,22
"355",1,633,4197,10,0,2965,10
"356",1,633,5162,10,0,3425,11
"357",1,633,5013,10,0,3253,11
"358",1,633,2893,10,0,1144,12
"359",1,633,4251,10,0,3233,11
"360",1,633,1899,10,0,898,15
"361",1,633,2089,10,0,961,10
"362",1,633,2514,10,0,988,10
"363",1,633,2880,10,0,1052,11
"364",1,633,2619,10,0,1292,10
"365",1,633,3034,10,0,1651,10
"366",1,633,3054,10,0,1474,10
"367",1,633,1802,10,0,397,10
"368",1,633,3484,10,0,1738,12
"369",1,633,2935,10,0,1922,10
"370",1,633,3573,10,0,1958,10
"371",1,633,3193,10,0,1476,10
"372",1,633,3822,10,0,1979,10
"373",1,633,3880,10,0,1898,10
"374",1,633,4003,10,0,1981,10
"375",1,633,4191,10,0,2025,13
"376",1,633,3201,10,0,1007,10
"377",1,633,4336,10,0,2129,10
"378",1,633,4425,10,0,2137,10
"379",1,633,3475,10,0,1146,10
"380",1,633,3409,10,0,1804,11
"381",1,633,1865,10,0,689,12
"382",1,633,2131,10,0,1103,11
"383",1,633,4704,10,0,3549,11
"384",1,633,4721,10,0,3515,10
"385",1,633,4845,10,0,3787,10
"386",1,633,4282,10,0,3274,10
"387",1,633,4360,10,0,3276,11
"388",1,633,4058,10,0,2879,11
"389",1,633,4505,10,0,3304,9
"390",1,633,4206,10,0,2943,10
"391",1,633,4795,10,0,3504,11
"392",1,633,2835,10,0,1626,9
"393",1,633,4993,10,0,3189,11
"394",1,633,5072,10,0,3180,10
"395",1,633,5194,10,0,3247,10
"396",1,633,2453,10,0,1313,10
"397",1,633,2518,10,0,1330,10
"398",1,633,3337,10,0,2153,10
"399",1,633,3227,10,0,1850,9
"400",1,633,3105,10,0,1816,10
"401",1,633,2460,10,0,1109,10
"402",1,633,2657,10,0,1096,10
"403",1,633,5545,10,0,4039,10
"404",1,633,3261,10,0,1113,11
"405",1,633,3875,10,0,2112,10
"406",1,633,4005,10,0,2108,12
"407",1,633,2667,10,0,1056,10
"408",1,633,3614,10,0,2048,10
"409",1,633,3885,10,0,2783,9
"410",1,633,4643,10,0,3399,10
"411",1,633,4873,10,0,3410,10
"412",1,633,4337,10,0,2724,12
"413",1,633,5032,10,0,2934,10
"414",1,633,3041,10,0,1988,11
"415",1,633,2230,10,0,1097,10
"416",1,633,3161,10,0,2081,11
"417",1,633,3096,10,0,2011,10
"418",1,633,3036,10,0,1919,10
"419",1,633,3132,10,0,2104,11
"420",1,633,5337,10,0,4265,10
"421",1,633,1881,10,0,741,10
"422",1,633,1930,10,0,763,10
"423",1,633,6302,10,0,4904,11
"424",1,633,2357,10,0,1245,10
"425",1,633,2815,10,0,1676,11
"426",1,633,2322,10,0,1113,10
"427",1,633,2863,10,0,1696,11
"428",1,633,3502,10,0,2347,9
"429",1,633,3825,10,0,2749,10
"430",1,633,4759,10,0,3574,10
"431",1,633,3115,10,0,1924,10
"432",1,633,3462,10,0,2283,9
"433",1,633,3594,10,0,2344,11
"434",1,633,3294,10,0,1948,11
"435",1,633,4251,10,0,2668,11
"436",1,633,3807,10,0,2111,10
"437",1,633,4357,10,0,2590,10
"438",1,633,8155,10,0,7098,11
"439",1,633,8470,10,0,7321,11
"440",1,633,8396,10,0,7159,10
"441",1,633,11474,10,0,10216,11
"442",1,633,5173,10,0,3526,10
"443",1,633,12523,10,0,11466,11
"444",1,633,6710,10,0,5133,11
"445",1,633,3449,10,0,2399,11
"446",1,633,2896,10,0,1876,11
"447",1,633,3205,10,0,2009,11
"448",1,633,3510,10,0,2035,9
"449",1,633,3158,10,0,2008,10
"450",1,633,3337,10,0,2170,10
"451",1,633,2904,10,0,1902,10
"452",1,633,3107,10,0,1942,11
"453",1,633,3227,10,0,1996,10
"454",1,633,3236,10,0,2197,11
"455",1,633,3264,10,0,2199,12
"456",1,633,2934,10,0,1776,11
"457",1,633,2111,10,0,980,11
"458",1,633,2271,10,0,989,9
"459",1,633,2383,10,0,999,11
"460",1,633,3205,10,0,1937,10
"461",1,633,3237,10,0,1918,9
"462",1,633,2829,10,0,1751,10
"463",1,633,3145,10,0,1768,10
"464",1,633,3759,10,0,1808,11
"465",1,633,3355,10,0,1670,10
"466",1,633,3630,10,0,1702,11
"467",1,633,3566,10,0,1529,10
"468",1,633,4274,10,0,1345,10
"469",1,633,4474,10,0,1373,10
"470",1,633,3309,10,0,1662,11
"471",1,633,3305,10,0,1829,10
"472",1,633,3340,10,0,1812,12
"473",1,633,3184,10,0,2043,10
"474",1,633,2443,10,0,1418,10
"475",1,633,3078,10,0,1989,12
"476",1,633,3453,10,0,2316,9
"477",1,633,3391,10,0,2331,14
"478",1,633,3122,10,0,1141,11
"479",1,633,4977,10,0,2270,10
"480",1,633,4253,10,0,2188,12
"481",1,633,4466,10,0,2086,11
"482",1,633,3154,10,0,1738,12
"483",1,633,3287,10,0,1709,10
"484",1,633,3507,10,0,1938,11
"485",1,633,3650,10,0,2252,12
"486",1,633,2971,10,0,1534,10
"487",1,633,2446,10,0,1286,9
"488",1,633,3114,10,0,2088,10
"489",1,633,3349,10,0,1946,10
"490",1,633,2141,10,0,1024,11
"491",1,633,3768,10,0,2128,10
"492",1,633,4573,10,0,3569,9
"493",1,633,4883,10,0,3253,10
"494",1,633,3386,10,0,1150,12
"495",1,633,3960,10,0,1592,10
"496",1,633,4253,10,0,2507,11
"497",1,633,4384,10,0,2492,10
"498",1,633,3971,10,0,1939,11
"499",1,633,3376,10,0,2358,14
"500",1,633,2919,10,0,1833,10
"501",1,633,3128,10,0,2068,11
"502",1,633,2529,10,0,1443,10
"503",1,633,2864,10,0,1457,11
"504",1,633,2677,10,0,1328,11
"505",1,633,2884,10,0,1791,11
"506",1,633,2877,10,0,1804,12
"507",1,633,3601,10,0,1887,11
"508",1,633,2682,10,0,1167,10
"509",1,633,3063,10,0,1933,10
"510",1,633,2333,10,0,1261,11
"511",1,633,3307,10,0,1880,11
"512",1,633,3350,10,0,1962,10
"513",1,633,3278,10,0,2247,10
"514",1,633,2379,10,0,1204,10
"515",1,633,2471,10,0,1132,10
"516",1,633,3777,10,0,2166,10
"517",1,633,3855,10,0,2291,11
"518",1,633,3866,10,0,2315,10
"519",1,633,3993,10,0,2288,9
"520",1,633,3148,10,0,2118,10
"521",1,633,2800,10,0,1625,11
"522",1,633,4425,10,0,2424,11
"523",1,633,3885,10,0,1668,11
"524",1,633,4225,10,0,2400,10
"525",1,633,2698,10,0,1334,10
"526",1,633,3259,10,0,2169,11
"527",1,633,3049,10,0,1946,12
"528",1,633,4566,10,0,2662,10
"529",1,633,3465,10,0,2331,10
"530",1,633,3087,10,0,2000,10
"531",1,633,3192,10,0,1947,11
"532",1,633,3411,10,0,2334,11
"533",1,633,3530,10,0,2461,9
"534",1,633,3979,10,0,2351,10
"535",1,633,3534,10,0,1734,10
"536",1,633,4927,10,0,2981,10
"537",1,633,4844,10,0,2724,10
"538",1,633,3924,10,0,1721,10
"539",1,633,2333,10,0,181,9
"540",1,633,5169,10,0,2463,10
"541",1,633,5954,10,0,3077,10
"542",1,633,4325,10,0,1735,10
